source,brand,description,original_price,final_price
babymarkt,chicco,Hochstuhl Pocket Meal Pied Poule,89.0,89.0
babymarkt,Lionelo,Hochstuhl Maya White,94.99,94.99
babymarkt,Maxi Cosi,Hochstuhl Minla Essential Grey,199.0,199.0
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Me Mon Amour Lederimitat,159.0,159.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Warm Red inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Moss Green inkl. Newborn Set™  Grey,308.0,308.0
babymarkt,Bumbo,Sitzerhöhung Multi Seat Cool grau,87.95,87.95
babymarkt,chicco,Hochstuhl Polly 2 Start Froggy,149.0,149.0
babymarkt,Geuther,Hochstuhl Nico natur 032 Sterne,79.99,79.99
babymarkt,Geuther,Hochstuhl Syt grau,159.99,159.99
babymarkt,Fillikid,Hochstuhl Aron Tupfen beige,134.9,134.9
babymarkt,roba,Treppenhochstuhl Born Up Set 2 in 1 Sternenzauber,159.9,159.9
babymarkt,QuarttoLino®,Set Maxi Lenkrad + Baumwollsitzkissen Grün,519.0,519.0
babymarkt,Geuther,Hochstuhl Nico natur 86 Party Animals,69.99,69.99
babymarkt,Joie,Hochstuhl Mimzy 2in1 Logan,119.95,119.95
babymarkt,STOKKE,CLIKK™ Hochstuhl Cloud Grey + gratis Chair Travel Bag,198.0,198.0
babymarkt,Britax Römer,"Kinderwagen Smile III Frost Grey, brown",599.0,599.0
babymarkt,cybex GOLD,Kindersitz Pallas G i-Size Navy Blue,299.95,299.95
babymarkt,Luma,Babycare Bade- und Pflegeset Sage Green,119.99,119.99
babymarkt,PHILIPS AVENT,Starterset für Neugeborenen SCD301/01 Naturnah 2.0,39.99,39.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Storm inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,Zapf,Creation Baby Annabell® Annabell 43 cm,69.99,69.99
babymarkt,Staccato,Schneeanzug tinte Alloverprint,59.99,59.99
babymarkt,Peg Perego,Reisehochstuhl Rialto Fragolan Lederimitat,79.0,79.0
babymarkt,CHILDHOME,Hochstuhl Evolu 2 natur / weiß 2 in 1 + Ring,169.0,169.0
babymarkt,chicco,Hochstuhl Pocket Meal Stone,89.0,89.0
babymarkt,Peg Perego,Hochstuhl Tatamia Follow Me Wonder Green,325.0,325.0
babymarkt,Peg Perego,Hochstuhl Tatamia Follow Me Cacao Lederimitat,299.0,299.0
babymarkt,Nomi,"by evomove Hochstuhlset Walnuss mit Walnusskern, natur geölt/grau",344.9,344.9
babymarkt,Maxi Cosi,Hochstuhl Moa Beyond Graphite,179.0,179.0
babymarkt,Chic 4 Baby,Hochstuhl Fiete Grau,109.0,109.0
babymarkt,Nomi,by evomove Hochstuhl Set inklusive Wippe Weiß,664.7,664.7
babymarkt,Bumbo,Sitzerhöhung Slate Grey Multi Seat,87.95,87.95
babymarkt,Geuther,Hochstuhl Syt rosa,159.99,159.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche walnussbraun,209.0,209.0
babymarkt,Lionelo,Hochstuhl Cora Ocean,99.99,99.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Sunflower Yellow inkl. Classic Baby Sitzkissen  Robot Grey + gratis Baby Set Sunflower Yellow,303.0,303.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Oak schwarz,298.0,298.0
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Me Licorice Lederimitat,159.0,159.0
babymarkt,Peg Perego,Reisehochstuhl Rialto Mint Lederimitat,79.0,79.0
babymarkt,Bumbo,Sitzerhöhung Booster Cool grey,52.89,52.89
babymarkt,roba,Treppenhochstuhl Sit up III braun,84.9,84.9
babymarkt,Lionelo,Hochstuhl Mona Bubblegum,109.99,109.99
babymarkt,Treppy,Hochstuhl natur + Gratis Sitzkissen Stars,168.9,168.9
babymarkt,STOKKE,CLIKK™ Hochstuhl Clover Green + gratis Chair Travel Bag,198.0,198.0
babymarkt,Pinolino,Treppenstuhl Bruno,74.9,74.9
babymarkt,Treppy,Hochstuhl schwarz,139.0,139.0
babymarkt,Peg Perego,Hochstuhl Siesta Follow Me Ginger Grey Lederimitat,219.0,219.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche schwarz,209.0,209.0
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Me Fragola Lederimitat,159.0,159.0
babymarkt,Peg Perego,Hochstuhl Prima Pappa Follow Me Linear Grey,139.0,139.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Sunflower Yellow inkl. Classic Baby Sitzkissen Nordic Grey + gratis Baby Set Sunflower Yellow,303.0,303.0
babymarkt,STOKKE,Tripp Trapp® Hochstuhl inkl. Baby Set Buche Warm Red,258.0,258.0
babymarkt,Britax Römer,"Kinderwagen Smile III Frost Grey, brown",599.0,599.0
babymarkt,cybex GOLD,Kindersitz Pallas G i-Size Navy Blue,299.95,299.95
babymarkt,Luma,Babycare Bade- und Pflegeset Sage Green,119.99,119.99
babymarkt,PHILIPS AVENT,Starterset für Neugeborenen SCD301/01 Naturnah 2.0,39.99,39.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche Storm inkl. Newborn Set™ Grey,308.0,308.0
babymarkt,Zapf,Creation Baby Annabell® Annabell 43 cm,69.99,69.99
babymarkt,Staccato,Schneeanzug tinte Alloverprint,59.99,59.99
babymarkt,STOKKE,Tripp Trapp® Hochstuhl Buche schwarz,209.0,209.0
babymarkt,tiSsi,Kinderhochstuhl natur,109.95,109.95
babymarkt,chicco,Hochstuhl Polly Magic Relax Red Passion,169.0,169.0
babymarkt,Safety 1st,Sitzerhöhung Take Eat Warm Grey,49.9,49.9
babymarkt,osann,Hochstuhl Uno Heart grau by Sarah Harrison,159.95,159.95
babymarkt,Babygo,Hochstuhl Carou Grey,149.9,149.9
babymarkt,Chic 4 Baby,Hochstuhl Anuk Blau,119.0,119.0
babymarkt,Joie,Hochstuhl Mimzy Snacker Portrait,79.95,79.95
babymarkt,Peg Perego,Hochstuhl Siesta Follow Me Ambiance Brown Lederimitat,279.0,279.0
babymarkt,Lionelo,Hochstuhl Floris Grey Stone,84.99,84.99
babymarkt,roba,Treppenhochstuhl Sit Up Super Maxi natur,124.9,124.9
